[['Oklahoma City Thunder', 0.349, 16.0, 14.0, 0.733], ['Milwaukee Bucks', 0.415, 11.0, 12.0, 0.704], 1]
[['Utah Jazz', 0.455, 17.0, 7.0, 0.625], ['Golden State Warriors', 0.513, 15.0, 10.0, 0.786], 0]
[['Brooklyn Nets', 0.424, 11.0, 16.0, 0.667], ['Los Angeles Clippers', 0.519, 17.0, 13.0, 0.667], 0]
[['Portland Trail Blazers', 0.444, 15.0, 15.0, 0.75], ['Toronto Raptors', 0.447, 16.0, 15.0, 0.742], 1]
[['Memphis Grizzlies', 0.379, 8.0, 11.0, 0.765], ['Sacramento Kings', 0.556, 16.0, 7.0, 0.722], 1]
[['Detroit Pistons', 0.483, 14.0, 12.0, 0.412], ['Los Angeles Lakers', 0.522, 13.0, 8.0, 1.0], 0]
[['Portland Trail Blazers', 0.365, 7.0, 14.0, 0.943], ['Brooklyn Nets', 0.539, 14.0, 9.0, 0.857], 1]
[['Charlotte Bobcats', 0.36, 16.0, 9.0, 0.839], ['Chicago Bulls', 0.363, 9.0, 12.0, 0.5], 0]
[['Denver Nuggets', 0.409, 12.0, 19.0, 0.813], ['Oklahoma City Thunder', 0.482, 11.0, 10.0, 0.581], 0]
[['Philadelphia 76ers', 0.384, 12.0, 18.0, 0.545], ['Dallas Mavericks', 0.436, 20.0, 10.0, 0.769], 0]
[['Golden State Warriors', 0.395, 10.0, 6.0, 0.842], ['Utah Jazz', 0.405, 14.0, 14.0, 0.733], 1]
[['Memphis Grizzlies', 0.395, 11.0, 16.0, 0.844], ['Los Angeles Clippers', 0.481, 9.0, 11.0, 0.767], 1]
[['Minnesota Timberwolves', 0.435, 13.0, 12.0, 0.667], ['Washington Wizards', 0.482, 11.0, 7.0, 1.0], 0]
[['New York Knicks', 0.434, 13.0, 10.0, 0.778], ['Detroit Pistons', 0.5, 15.0, 10.0, 0.714], 0]
[['Atlanta Hawks', 0.446, 24.0, 13.0, 0.733], ['Miami Heat', 0.506, 15.0, 10.0, 0.632], 0]
[['Boston Celtics', 0.323, 12.0, 18.0, 0.7], ['Houston Rockets', 0.569, 19.0, 6.0, 0.75], 0]
[['Phoenix Suns', 0.468, 16.0, 6.0, 0.714], ['Sacramento Kings', 0.47, 20.0, 15.0, 0.75], 0]
[['Brooklyn Nets', 0.444, 15.0, 17.0, 0.6], ['Charlotte Bobcats', 0.478, 17.0, 6.0, 0.72], 0]
[['Washington Wizards', 0.416, 15.0, 13.0, 0.857], ['Cleveland Cavaliers', 0.452, 14.0, 15.0, 1.0], 1]
