[['Miami Heat', 0.473, 14.0, 5.0, 0.92], ['Atlanta Hawks', 0.56, 13.0, 3.0, 0.826], 0]
[['Cleveland Cavaliers', 0.506, 11.0, 8.0, 0.757], ['Boston Celtics', 0.545, 14.0, 8.0, 0.826], 1]
[['Utah Jazz', 0.476, 8.0, 7.0, 0.85], ['New York Knicks', 0.514, 18.0, 11.0, 0.8], 1]
[['Philadelphia 76ers', 0.372, 21.0, 13.0, 0.622], ['Houston Rockets', 0.425, 23.0, 14.0, 0.667], 0]
[['Minnesota Timberwolves', 0.403, 22.0, 11.0, 0.732], ['New Orleans Pelicans', 0.667, 13.0, 3.0, 0.75], 0]
[['Detroit Pistons', 0.396, 14.0, 10.0, 0.167], ['Oklahoma City Thunder', 0.427, 16.0, 14.0, 0.6], 1]
[['Charlotte Hornets', 0.429, 7.0, 14.0, 0.947], ['Phoenix Suns', 0.43, 11.0, 11.0, 0.929], 1]
[['San Antonio Spurs', 0.373, 13.0, 11.0, 0.71], ['Los Angeles Lakers', 0.413, 10.0, 7.0, 0.85], 1]
[['Orlando Magic', 0.474, 15.0, 9.0, 0.667], ['Washington Wizards', 0.5, 11.0, 9.0, 0.688], 0]
[['Atlanta Hawks', 0.444, 18.0, 11.0, 0.846], ['Cleveland Cavaliers', 0.544, 13.0, 12.0, 0.769], 0]
[['Utah Jazz', 0.44, 11.0, 10.0, 0.733], ['Toronto Raptors', 0.512, 8.0, 13.0, 0.739], 0]
[['Indiana Pacers', 0.422, 13.0, 10.0, 0.696], ['Chicago Bulls', 0.481, 14.0, 10.0, 0.72], 1]
[['Detroit Pistons', 0.372, 8.0, 18.0, 0.818], ['Memphis Grizzlies', 0.415, 9.0, 9.0, 0.588], 0]
[['Minnesota Timberwolves', 0.5, 17.0, 12.0, 0.828], ['Dallas Mavericks', 0.553, 7.0, 12.0, 0.826], 0]
[['Brooklyn Nets', 0.393, 9.0, 12.0, 0.941], ['Portland Trail Blazers', 0.423, 14.0, 13.0, 0.741], 0]
[['San Antonio Spurs', 0.425, 14.0, 7.0, 0.889], ['Sacramento Kings', 0.43, 9.0, 8.0, 0.833], 0]
[['Charlotte Hornets', 0.381, 12.0, 10.0, 0.571], ['Golden State Warriors', 0.517, 14.0, 11.0, 0.786], 0]
[['Phoenix Suns', 0.384, 10.0, 16.0, 0.87], ['Los Angeles Clippers', 0.529, 20.0, 4.0, 0.791], 0]
[['Denver Nuggets', 0.39, 17.0, 10.0, 0.615], ['New York Knicks', 0.539, 15.0, 8.0, 0.778], 0]
[['Milwaukee Bucks', 0.411, 17.0, 6.0, 0.591], ['Miami Heat', 0.473, 16.0, 5.0, 0.615], 1]
[['Houston Rockets', 0.288, 14.0, 22.0, 0.533], ['Oklahoma City Thunder', 0.294, 15.0, 11.0, 0.786], 1]
[['Golden State Warriors', 0.394, 7.0, 20.0, 0.791], ['Los Angeles Lakers', 0.535, 16.0, 11.0, 0.882], 1]
[['Dallas Mavericks', 0.4, 11.0, 7.0, 0.462], ['Charlotte Hornets', 0.512, 7.0, 10.0, 0.688], 1]
[['Denver Nuggets', 0.43, 15.0, 9.0, 0.826], ['Cleveland Cavaliers', 0.482, 15.0, 9.0, 0.8], 1]
[['Phoenix Suns', 0.516, 18.0, 8.0, 0.813], ['Boston Celtics', 0.517, 18.0, 11.0, 0.645], 1]
[['Miami Heat', 0.414, 12.0, 11.0, 0.615], ['Brooklyn Nets', 0.431, 14.0, 10.0, 0.889], 1]
[['Orlando Magic', 0.4, 14.0, 10.0, 0.75], ['Detroit Pistons', 0.519, 11.0, 6.0, 0.8], 1]
[['Houston Rockets', 0.436, 21.0, 10.0, 0.81], ['Memphis Grizzlies', 0.535, 10.0, 10.0, 0.909], 0]
[['Philadelphia 76ers', 0.325, 13.0, 5.0, 0.708], ['San Antonio Spurs', 0.444, 17.0, 6.0, 0.857], 0]
[['New Orleans Pelicans', 0.447, 11.0, 13.0, 0.632], ['Portland Trail Blazers', 0.5, 18.0, 10.0, 0.826], 0]
[['Chicago Bulls', 0.444, 12.0, 9.0, 0.455], ['Los Angeles Clippers', 0.488, 8.0, 9.0, 0.68], 1]
[['Los Angeles Lakers', 0.482, 10.0, 13.0, 0.783], ['Atlanta Hawks', 0.54, 11.0, 13.0, 0.636], 1]
[['New York Knicks', 0.55, 12.0, 11.0, 0.737], ['Milwaukee Bucks', 0.551, 16.0, 17.0, 0.815], 0]
