[['Los Angeles Lakers', 0.481, 16.0, 7.0, 0.9], ['Phoenix Suns', 0.484, 10.0, 18.0, 0.76], 0]
[['Milwaukee Bucks', 0.431, 19.0, 6.0, 0.583], ['Washington Wizards', 0.529, 12.0, 6.0, 0.707], 0]
[['Atlanta Hawks', 0.434, 20.0, 8.0, 0.714], ['Brooklyn Nets', 0.44, 11.0, 9.0, 0.538], 0]
[['Cleveland Cavaliers', 0.429, 13.0, 11.0, 0.806], ['Detroit Pistons', 0.475, 14.0, 3.0, 0.6], 0]
[['Minnesota Timberwolves', 0.371, 8.0, 15.0, 0.771], ['Miami Heat', 0.456, 22.0, 10.0, 0.467], 1]
[['Charlotte Hornets', 0.404, 10.0, 10.0, 0.952], ['New York Knicks', 0.439, 7.0, 8.0, 0.68], 0]
[['Denver Nuggets', 0.494, 9.0, 8.0, 0.818], ['New Orleans Pelicans', 0.529, 13.0, 11.0, 0.769], 1]
[['Toronto Raptors', 0.468, 18.0, 12.0, 0.769], ['Golden State Warriors', 0.538, 20.0, 9.0, 0.667], 0]
[['Brooklyn Nets', 0.484, 9.0, 5.0, 0.818], ['Charlotte Hornets', 0.488, 15.0, 9.0, 0.75], 0]
[['Minnesota Timberwolves', 0.373, 9.0, 20.0, 0.619], ['Orlando Magic', 0.424, 14.0, 11.0, 0.833], 0]
[['Indiana Pacers', 0.457, 18.0, 16.0, 0.8], ['Philadelphia 76ers', 0.461, 29.0, 7.0, 0.625], 1]
[['Dallas Mavericks', 0.413, 14.0, 14.0, 0.75], ['Boston Celtics', 0.514, 17.0, 7.0, 0.714], 1]
[['Sacramento Kings', 0.427, 11.0, 12.0, 0.75], ['Atlanta Hawks', 0.442, 20.0, 13.0, 0.889], 0]
[['Portland Trail Blazers', 0.348, 17.0, 13.0, 0.857], ['Houston Rockets', 0.398, 19.0, 10.0, 0.828], 0]
