[[0.436, 16.194, 11.129, 0.741], [0.445, 14.233, 11.55, 0.759], [0, 1]]
[[0.459, 14.116, 9.348, 0.724], [0.454, 13.159, 11.406, 0.725], [0, 1]]
[[0.447, 14.053, 11.307, 0.768], [0.453, 12.855, 9.474, 0.72], [1, 0]]
[[0.436, 13.424, 10.356, 0.721], [0.444, 14.203, 11.678, 0.762], [1, 0]]
[[0.428, 12.96, 10.0, 0.757], [0.447, 13.064, 10.128, 0.75], [0, 1]]
[[0.439, 13.4, 11.418, 0.762], [0.447, 14.103, 11.293, 0.755], [1, 0]]
[[0.415, 12.524, 10.381, 0.736], [0.431, 12.4, 9.95, 0.738], [0, 1]]
[[0.449, 12.109, 11.565, 0.734], [0.413, 17.022, 10.87, 0.68], [1, 0]]
[[0.422, 11.8, 8.8, 0.731], [0.431, 12.75, 10.6, 0.734], [1, 0]]
[[0.434, 11.913, 8.826, 0.737], [0.444, 13.24, 9.68, 0.728], [1, 0]]
[[0.426, 10.5, 8.773, 0.716], [0.438, 13.667, 10.571, 0.75], [1, 0]]
[[0.418, 17.239, 10.582, 0.688], [0.438, 13.523, 10.4, 0.718], [0, 1]]
[[0.346, 9.0, 12.4, 0.544], [0.357, 11.2, 5.2, 0.643], [1, 0]]
[[0.458, 12.276, 10.069, 0.733], [0.448, 13.645, 10.065, 0.745], [1, 0]]
[[0.415, 13.667, 9.25, 0.66], [0.42, 12.083, 9.75, 0.72], [1, 0]]
[[0.401, 9.8, 8.6, 0.635], [0.344, 9.75, 11.25, 0.559], [1, 0]]
[[0.399, 12.286, 10.429, 0.643], [0.394, 12.25, 7.75, 0.673], [1, 0]]
[[0.441, 14.071, 11.095, 0.76], [0.454, 12.95, 10.5, 0.712], [1, 0]]
[[0.436, 15.094, 11.528, 0.718], [0.447, 14.018, 11.073, 0.752], [1, 0]]
[[0.416, 16.939, 10.816, 0.681], [0.446, 13.612, 9.408, 0.756], [0, 1]]
[[0.443, 13.31, 9.966, 0.755], [0.434, 12.825, 10.702, 0.786], [0, 1]]
[[0.45, 13.257, 9.784, 0.769], [0.445, 13.787, 10.507, 0.764], [1, 0]]
[[0.435, 15.13, 11.574, 0.719], [0.457, 12.491, 9.473, 0.728], [0, 1]]
[[0.321, 11.333, 7.0, 0.561], [0.268, 7.5, 4.5, 0.416], [1, 0]]
[[0.449, 12.133, 11.444, 0.733], [0.453, 12.87, 10.522, 0.741], [1, 0]]
[[0.377, 10.429, 10.286, 0.608], [0.408, 11.875, 11.125, 0.695], [0, 1]]
[[0.427, 11.462, 10.077, 0.7], [0.372, 12.462, 10.692, 0.653], [1, 0]]
[[0.444, 13.871, 10.286, 0.761], [0.432, 13.643, 12.014, 0.746], [0, 1]]
[[0.442, 16.345, 10.862, 0.739], [0.432, 12.0, 11.701, 0.753], [1, 0]]
[[0.439, 13.081, 10.703, 0.73], [0.433, 13.635, 12.176, 0.746], [1, 0]]
[[0.418, 17.258, 10.636, 0.688], [0.445, 13.8, 10.723, 0.748], [1, 0]]
[[0.428, 11.1, 12.05, 0.676], [0.437, 12.864, 10.545, 0.726], [1, 0]]
[[0.443, 16.422, 10.916, 0.739], [0.442, 13.614, 11.084, 0.764], [0, 1]]
[[0.409, 17.548, 10.032, 0.675], [0.433, 14.71, 11.871, 0.752], [0, 1]]
[[0.391, 15.933, 11.8, 0.667], [0.441, 13.375, 9.625, 0.703], [1, 0]]
[[0.437, 13.521, 9.979, 0.716], [0.457, 12.54, 9.32, 0.731], [1, 0]]
[[0.438, 10.536, 9.107, 0.71], [0.448, 12.517, 10.034, 0.717], [1, 0]]
[[0.227, 11.5, 9.5, 0.369], [0.262, 8.5, 5.0, 0.375], [0, 1]]
[[0.359, 9.6, 7.8, 0.648], [0.324, 9.5, 10.5, 0.625], [1, 0]]
[[0.444, 13.487, 11.231, 0.779], [0.432, 12.143, 11.619, 0.762], [0, 1]]
[[0.416, 17.703, 10.216, 0.678], [0.424, 12.8, 10.175, 0.751], [1, 0]]
[[0.435, 15.939, 11.455, 0.704], [0.438, 10.879, 8.909, 0.718], [1, 0]]
[[0.438, 15.571, 11.714, 0.691], [0.442, 12.741, 9.926, 0.741], [1, 0]]
[[0.451, 13.0, 8.647, 0.746], [0.437, 13.562, 10.875, 0.74], [1, 0]]
[[0.448, 13.043, 10.152, 0.746], [0.456, 12.673, 10.959, 0.718], [0, 1]]
[[0.363, 10.5, 13.167, 0.58], [0.366, 11.833, 8.333, 0.687], [1, 0]]
[[0.439, 16.273, 11.106, 0.74], [0.434, 12.723, 10.0, 0.761], [0, 1]]
[[0.447, 14.077, 10.154, 0.704], [0.454, 13.714, 8.464, 0.7], [1, 0]]
[[0.445, 13.0, 9.455, 0.75], [0.42, 14.833, 11.767, 0.694], [1, 0]]
[[0.412, 11.714, 10.952, 0.731], [0.417, 14.85, 12.05, 0.732], [0, 1]]
[[0.45, 13.889, 9.244, 0.709], [0.423, 13.756, 11.561, 0.726], [0, 1]]
[[0.443, 12.833, 10.375, 0.747], [0.446, 14.511, 11.756, 0.768], [1, 0]]
[[0.431, 16.262, 11.476, 0.723], [0.461, 13.0, 10.524, 0.727], [0, 1]]
[[0.435, 12.5, 9.269, 0.738], [0.433, 12.308, 10.538, 0.749], [0, 1]]
[[0.443, 13.683, 10.067, 0.764], [0.448, 13.593, 8.932, 0.726], [1, 0]]
[[0.45, 14.036, 10.143, 0.704], [0.42, 11.655, 11.517, 0.745], [0, 1]]
[[0.442, 16.262, 10.963, 0.741], [0.443, 13.488, 10.325, 0.737], [1, 0]]
