[['Los Angeles Clippers', 0.476, 12.0, 12.0, 0.611], ['Memphis Grizzlies', 0.543, 12.0, 9.0, 0.842], 0]
[['New Jersey Nets', 0.385, 18.0, 16.0, 0.88], ['Milwaukee Bucks', 0.476, 19.0, 12.0, 0.846], 0]
[['Houston Rockets', 0.433, 21.0, 18.0, 0.7], ['Minnesota Timberwolves', 0.456, 22.0, 12.0, 0.8], 1]
[['Toronto Raptors', 0.374, 11.0, 16.0, 0.773], ['Utah Jazz', 0.488, 10.0, 13.0, 0.655], 0]
[['San Antonio Spurs', 0.4, 5.0, 17.0, 0.762], ['Dallas Mavericks', 0.436, 18.0, 8.0, 0.792], 0]
[['Detroit Pistons', 0.388, 12.0, 12.0, 0.833], ['Portland Trail Blazers', 0.471, 14.0, 6.0, 0.696], 0]
[['Phoenix Suns', 0.402, 16.0, 25.0, 0.826], ['New Orleans Hornets', 0.458, 11.0, 14.0, 0.727], 0]
[['Utah Jazz', 0.427, 11.0, 10.0, 0.652], ['San Antonio Spurs', 0.462, 9.0, 8.0, 0.7], 1]
[['Chicago Bulls', 0.452, 15.0, 10.0, 0.706], ['Los Angeles Lakers', 0.457, 12.0, 14.0, 0.818], 0]
[['Cleveland Cavaliers', 0.462, 14.0, 11.0, 0.794], ['Indiana Pacers', 0.469, 10.0, 9.0, 0.714], 1]
[['Memphis Grizzlies', 0.457, 17.0, 11.0, 0.737], ['Philadelphia 76ers', 0.519, 20.0, 17.0, 0.68], 1]
[['Miami Heat', 0.438, 9.0, 15.0, 0.824], ['Toronto Raptors', 0.577, 20.0, 9.0, 0.806], 0]
[['Houston Rockets', 0.424, 12.0, 20.0, 0.857], ['Atlanta Hawks', 0.5, 15.0, 15.0, 0.731], 0]
[['Orlando Magic', 0.345, 12.0, 14.0, 0.889], ['Boston Celtics', 0.414, 20.0, 7.0, 0.577], 1]
[['Washington Wizards', 0.471, 20.0, 17.0, 0.704], ['Oklahoma City Thunder', 0.537, 16.0, 12.0, 0.848], 0]
[['Sacramento Kings', 0.452, 14.0, 17.0, 0.714], ['Dallas Mavericks', 0.531, 21.0, 11.0, 0.714], 0]
[['Charlotte Bobcats', 0.415, 14.0, 14.0, 0.81], ['Milwaukee Bucks', 0.508, 11.0, 2.0, 0.605], 0]
[['Portland Trail Blazers', 0.418, 23.0, 17.0, 0.8], ['Golden State Warriors', 0.476, 16.0, 11.0, 0.778], 0]
[['Denver Nuggets', 0.486, 17.0, 8.0, 0.818], ['Los Angeles Clippers', 0.493, 13.0, 7.0, 0.818], 0]
[['New York Knicks', 0.411, 13.0, 14.0, 0.684], ['New Jersey Nets', 0.425, 15.0, 11.0, 0.786], 1]
[['Philadelphia 76ers', 0.42, 10.0, 13.0, 0.75], ['Cleveland Cavaliers', 0.48, 11.0, 8.0, 0.81], 0]
[['Milwaukee Bucks', 0.458, 13.0, 6.0, 0.75], ['Memphis Grizzlies', 0.463, 16.0, 11.0, 0.724], 1]
[['Atlanta Hawks', 0.372, 6.0, 20.0, 0.824], ['New Orleans Hornets', 0.435, 12.0, 13.0, 0.588], 0]
[['Sacramento Kings', 0.478, 8.0, 12.0, 0.923], ['Houston Rockets', 0.506, 14.0, 9.0, 0.765], 0]
[['Washington Wizards', 0.333, 9.0, 11.0, 0.706], ['San Antonio Spurs', 0.465, 8.0, 12.0, 0.762], 0]
[['Chicago Bulls', 0.444, 16.0, 10.0, 0.792], ['Denver Nuggets', 0.488, 12.0, 11.0, 0.808], 0]
[['Detroit Pistons', 0.438, 15.0, 8.0, 0.75], ['Utah Jazz', 0.45, 15.0, 9.0, 0.84], 0]
[['Minnesota Timberwolves', 0.377, 10.0, 10.0, 1.0], ['Portland Trail Blazers', 0.5, 9.0, 15.0, 0.643], 0]
[['Orlando Magic', 0.41, 7.0, 14.0, 0.771], ['Toronto Raptors', 0.442, 9.0, 8.0, 0.786], 1]
[['Boston Celtics', 0.412, 15.0, 11.0, 0.771], ['New York Knicks', 0.432, 18.0, 11.0, 0.792], 1]
[['Indiana Pacers', 0.41, 18.0, 9.0, 0.792], ['Charlotte Bobcats', 0.5, 15.0, 11.0, 0.75], 0]
[['New Orleans Hornets', 0.396, 9.0, 11.0, 0.895], ['Miami Heat', 0.521, 14.0, 4.0, 0.75], 0]
[['Detroit Pistons', 0.427, 13.0, 17.0, 0.667], ['Phoenix Suns', 0.575, 14.0, 9.0, 0.88], 0]
[['Oklahoma City Thunder', 0.372, 19.0, 17.0, 0.783], ['Los Angeles Lakers', 0.404, 9.0, 17.0, 0.905], 0]
[['Sacramento Kings', 0.494, 21.0, 10.0, 0.739], ['Memphis Grizzlies', 0.539, 16.0, 11.0, 0.738], 0]
[['Milwaukee Bucks', 0.494, 9.0, 9.0, 0.643], ['San Antonio Spurs', 0.513, 16.0, 13.0, 0.846], 0]
[['Chicago Bulls', 0.463, 6.0, 8.0, 0.818], ['Portland Trail Blazers', 0.575, 10.0, 14.0, 0.8], 0]
[['Minnesota Timberwolves', 0.422, 13.0, 16.0, 0.864], ['Los Angeles Clippers', 0.434, 21.0, 11.0, 0.778], 0]
[['Indiana Pacers', 0.453, 13.0, 7.0, 0.846], ['Toronto Raptors', 0.558, 13.0, 8.0, 0.757], 0]
[['Philadelphia 76ers', 0.404, 11.0, 19.0, 0.913], ['Washington Wizards', 0.473, 14.0, 19.0, 0.778], 0]
[['Golden State Warriors', 0.463, 18.0, 9.0, 0.92], ['Dallas Mavericks', 0.477, 21.0, 10.0, 0.81], 1]
[['New Jersey Nets', 0.389, 23.0, 7.0, 0.722], ['Denver Nuggets', 0.481, 22.0, 8.0, 0.697], 0]
[['Oklahoma City Thunder', 0.487, 16.0, 6.0, 0.88], ['Utah Jazz', 0.494, 24.0, 11.0, 0.833], 1]
[['New York Knicks', 0.389, 14.0, 9.0, 0.75], ['Los Angeles Lakers', 0.465, 25.0, 15.0, 0.833], 0]
[['Toronto Raptors', 0.345, 15.0, 12.0, 0.739], ['Charlotte Bobcats', 0.452, 9.0, 15.0, 0.844], 0]
